year,country,factbook.tradeshare.ln2,factbook.popsize.ln2,factbook.imr.sqrt,factbook.gdppcgrowth,imports (millions),exports (millions),gdp
2017,Afghanistan,,25.15045472,7.176350047,4,,,
2018,Afghanistan,,25.18270403,6.920982589,-4,,,
2020,Afghanistan,,26.96980306,6.819090848,-2.4464989,,,
2021,Afghanistan,,26.98102415,6.708203932,-17.832205,,,
1992,Bosnia-Herzegovina,-2.053572,22.02773932,5.540758071,-0.819872707,,,
1991,Croatia,,22.16085562,3.31662479,-15.55785015,14800.00,16100.00,
1992,Croatia,-2.548303,22.12559824,3.16227766,-5.277941922,,,
2012,Eritrea,-1.064445,21.63316021,6.08276253,7,391.00,44.30,
2013,Eritrea,-0.6926108,21.65244544,6,7,,,
2014,Eritrea,-1.3886,21.66423937,5.916079783,1.7,,,
2015,Eritrea,-1.276141,21.67141926,5.839520528,4.8,,,
2016,Eritrea,,21.6866356,5.73585216,0,,,
2017,Eritrea,,21.68847229,5.66568619,0,,,
2018,Eritrea,,21.69522659,5.594640292,0,,,
2019,Eritrea,,21.69949027,5.594640292,5,,,
2020,Eritrea,,25.80399058,5.522680509,5,,,
2021,Eritrea,,25.81274031,5.449770637,5,,,
2022,Eritrea,-1.750931,21.81285416,5.291502622,,,,
2023,Eritrea,-1.750931,21.81285416,5.310877651,,,,
2022,Jordan,-0.1962631,23.42801417,3.492849839,2.428073345,,,
2023,Jordan,-0.1962631,23.42801417,3.563665532,2.428073345,,,
2015,"Korea, People's Republic of",,24.66950297,4.69041576,-2,,,
2016,"Korea, People's Republic of",,24.67592022,4.69041576,-1,,,
2017,"Korea, People's Republic of",,24.68997995,4.69041576,-4,,,
2018,"Korea, People's Republic of",,24.69337507,4.69041576,-5,,,
2019,"Korea, People's Republic of",,24.6958181,4.472135955,-1.6580903,,,
2020,"Korea, People's Republic of",,26.77068667,4.734976241,-1.6580903,,,
2021,"Korea, People's Republic of",,26.77264962,4.712748667,-1.6580903,,,
2022,"Korea, People's Republic of",-4.008027,24.63585493,3.687817783,1.31798355,,,
