ccode,country,year,cou.any
40,Cuba,1952,1
40,Cuba,1957,1
41,Haiti,1950,1
41,Haiti,1956,1
41,Haiti,1957,1
41,Haiti,1970,1
41,Haiti,1986,1
41,Haiti,1988,1
41,Haiti,1989,1
41,Haiti,1991,1
42,Dominican Republic,1962,1
42,Dominican Republic,1963,1
42,Dominican Republic,1965,1
54,Dominica,1981,1
55,Grenada,1979,1
55,Grenada,1983,1
90,Guatemala,1954,1
90,Guatemala,1955,1
90,Guatemala,1957,1
90,Guatemala,1960,1
90,Guatemala,1962,1
90,Guatemala,1963,1
90,Guatemala,1982,1
90,Guatemala,1983,1
90,Guatemala,1988,1
90,Guatemala,1989,1
91,Honduras,1956,1
91,Honduras,1959,1
91,Honduras,1963,1
91,Honduras,1972,1
91,Honduras,1975,1
91,Honduras,1977,1
91,Honduras,1978,1
91,Honduras,1999,1
91,Honduras,2009,1
92,El Salvador,1960,1
92,El Salvador,1961,1
92,El Salvador,1972,1
92,El Salvador,1979,1
95,Panama,1951,1
95,Panama,1968,1
95,Panama,1969,1
95,Panama,1988,1
95,Panama,1989,1
100,Colombia,1953,1
100,Colombia,1957,1
100,Colombia,1958,1
100,Colombia,1961,1
101,Venezuela,1952,1
101,Venezuela,1958,1
101,Venezuela,1960,1
101,Venezuela,1961,1
101,Venezuela,1962,1
101,Venezuela,1966,1
101,Venezuela,1992,1
101,Venezuela,2002,1
115,Suriname,1980,1
130,Ecuador,1952,1
130,Ecuador,1954,1
130,Ecuador,1956,1
130,Ecuador,1961,1
130,Ecuador,1963,1
130,Ecuador,1966,1
130,Ecuador,1972,1
130,Ecuador,1975,1
130,Ecuador,1976,1
130,Ecuador,1986,1
130,Ecuador,2000,1
135,Peru,1954,1
135,Peru,1956,1
135,Peru,1962,1
135,Peru,1963,1
135,Peru,1968,1
135,Peru,1975,1
135,Peru,1992,1
135,Peru,2000,1
140,Brazil,1955,1
140,Brazil,1959,1
140,Brazil,1963,1
140,Brazil,1964,1
140,Brazil,1969,1
145,Bolivia,1950,1
145,Bolivia,1951,1
145,Bolivia,1952,1
145,Bolivia,1953,1
145,Bolivia,1958,1
145,Bolivia,1959,1
145,Bolivia,1960,1
145,Bolivia,1964,1
145,Bolivia,1969,1
145,Bolivia,1970,1
145,Bolivia,1971,1
145,Bolivia,1974,1
145,Bolivia,1978,1
145,Bolivia,1979,1
145,Bolivia,1980,1
145,Bolivia,1981,1
145,Bolivia,1984,1
145,Bolivia,2024,1
150,Paraguay,1954,1
150,Paraguay,1955,1
150,Paraguay,1989,1
150,Paraguay,2000,1
155,Chile,1973,1
160,Argentina,1951,1
160,Argentina,1955,1
160,Argentina,1956,1
160,Argentina,1960,1
160,Argentina,1961,1
160,Argentina,1962,1
160,Argentina,1963,1
160,Argentina,1966,1
160,Argentina,1970,1
160,Argentina,1971,1
160,Argentina,1975,1
160,Argentina,1976,1
160,Argentina,1988,1
165,Uruguay,1973,1
165,Uruguay,1976,1
230,Spain,1981,1
235,Portugal,1962,1
235,Portugal,1974,1
235,Portugal,1975,1
350,Greece,1967,1
350,Greece,1973,1
352,Cyprus,1974,1
365,Russia,1991,1
369,Ukraine,2014,1
373,Azerbaijan,1994,1
373,Azerbaijan,1995,1
403,Sao Tome and Principe,1995,1
403,Sao Tome and Principe,2003,1
403,Sao Tome and Principe,2022,1
404,Guinea-Bissau,1980,1
404,Guinea-Bissau,1998,1
404,Guinea-Bissau,1999,1
404,Guinea-Bissau,2000,1
404,Guinea-Bissau,2003,1
404,Guinea-Bissau,2008,1
404,Guinea-Bissau,2010,1
404,Guinea-Bissau,2012,1
404,Guinea-Bissau,2022,1
411,Equatorial Guinea,1969,1
411,Equatorial Guinea,1979,1
420,Gambia,1981,1
420,Gambia,1994,1
432,Mali,1968,1
432,Mali,1978,1
432,Mali,1991,1
432,Mali,2012,1
432,Mali,2020,1
432,Mali,2021,1
433,Senegal,1962,1
434,Benin,1963,1
434,Benin,1965,1
434,Benin,1967,1
434,Benin,1969,1
434,Benin,1972,1
434,Benin,1975,1
435,Mauritania,1978,1
435,Mauritania,1980,1
435,Mauritania,1982,1
435,Mauritania,1984,1
435,Mauritania,2003,1
435,Mauritania,2005,1
435,Mauritania,2008,1
436,Niger,1974,1
436,Niger,1976,1
436,Niger,1983,1
436,Niger,1996,1
436,Niger,1999,1
