ccode,country,year,cou.any
700,Afghanistan,1945,0
339,Albania,1945,0
160,Argentina,1945,0
900,Australia,1945,0
305,Austria,1945,0
211,Belgium,1945,0
145,Bolivia,1945,0
140,Brazil,1945,0
355,Bulgaria,1945,0
20,Canada,1945,0
155,Chile,1945,0
710,China,1945,0
100,Colombia,1945,0
94,Costa Rica,1945,0
40,Cuba,1945,0
315,Czechoslovakia,1945,0
390,Denmark,1945,0
42,Dominican Republic,1945,0
130,Ecuador,1945,0
92,El Salvador,1945,0
530,Ethiopia,1945,0
375,Finland,1945,0
220,France,1945,0
255,Germany,1945,0
265,Germany (East),1945,0
350,Greece,1945,0
90,Guatemala,1945,0
41,Haiti,1945,0
91,Honduras,1945,0
310,Hungary,1945,0
630,Iran (Persia),1945,0
645,Iraq,1945,0
205,Ireland,1945,0
325,Italy/Sardinia,1945,0
740,Japan,1945,0
660,Lebanon,1945,0
450,Liberia,1945,0
70,Mexico,1945,0
712,Mongolia,1945,0
790,Nepal,1945,0
210,Netherlands,1945,0
920,New Zealand,1945,0
93,Nicaragua,1945,0
385,Norway,1945,0
95,Panama,1945,0
150,Paraguay,1945,0
135,Peru,1945,0
840,Philippines,1945,0
290,Poland,1945,0
235,Portugal,1945,0
360,Rumania,1945,0
365,Russia (Soviet Union),1945,0
670,Saudi Arabia,1945,0
560,South Africa,1945,0
230,Spain,1945,0
380,Sweden,1945,0
225,Switzerland,1945,0
800,Thailand,1945,0
640,Turkey (Ottoman Empire),1945,0
200,United Kingdom,1945,0
2,United States of America,1945,0
165,Uruguay,1945,0
101,Venezuela,1945,0
678,Yemen (Arab Republic of Yemen),1945,0
345,Yugoslavia,1945,0
700,Afghanistan,1946,0
339,Albania,1946,0
160,Argentina,1946,0
900,Australia,1946,0
305,Austria,1946,0
211,Belgium,1946,0
145,Bolivia,1946,0
140,Brazil,1946,0
355,Bulgaria,1946,0
20,Canada,1946,0
155,Chile,1946,0
710,China,1946,0
100,Colombia,1946,0
94,Costa Rica,1946,0
40,Cuba,1946,0
315,Czechoslovakia,1946,0
390,Denmark,1946,0
42,Dominican Republic,1946,0
130,Ecuador,1946,0
92,El Salvador,1946,0
530,Ethiopia,1946,0
375,Finland,1946,0
220,France,1946,0
255,Germany,1946,0
265,Germany (East),1946,0
350,Greece,1946,0
90,Guatemala,1946,0
41,Haiti,1946,1
91,Honduras,1946,0
310,Hungary,1946,0
630,Iran (Persia),1946,0
645,Iraq,1946,0
205,Ireland,1946,0
