"","variable","coef.full","or.full"
"1","(Intercept)","-1.3277",0.2651
"2","widetargeting","0",1
"3","narrowtargeting","0.0907",1.0949
"4","v2csgender_binary","0",1
"5","v2mecenefm_binary","0",1
"6","partyban.new.0","-0.1966",0.8215
"7","partyban.new.1","0.2599",1.2968
"8","partyban.new.2","0",1
"9","minorityrule","0.0142",1.0143
"10","judicialreform","0",1
"11","religiousfreedom","0",1
"12","pol_killing_approved","0.5431",1.7213
"13","freediscussion","0",1
"14","social_inequality","0",1
"15","even_civilrights","-0.8283",0.4368
"16","repress_civilsoc","0",1
"17","social_power_dist","0.0355",1.0362
"18","ses_power_dist","-0.0359",0.9648
"19","popsize.log2","0.1284",1.137
"20","gdppcgrowth","0",1
"21","un_imr_sqrt","0.0894",1.0935
"22","efindex","0.1524",1.1647
"23","discrimpop","0.9526",2.5924
"24","reg.na","-0.4912",0.6119
"25","reg.eap","0",1
"26","reg.sca","0.2193",1.2452
"27","reg.mna","0",1
"28","reg.eur","-0.0081",0.9919
"29","ios.iccpr1","-0.0875",0.9162
"30","battledeaths.log2","0.0342",1.0348
"31","coup.try.5yr","0.6442",1.9044
"32","mk_ongoing_count_log2","0",1
"33","mean_mk_onset_interaction","0",1
"34","mk_onset_prev_year","0",1
"35","newcountry","0.6973",2.0084
"36","mk_ever","0.4526",1.5723
"37","year_sq","0",1
"38","year","-0.0019",0.9981
"39","countryage.new.log2","0",1
"40","includesnonstate","0",1
