"","ewp_name","risk_1or2.from2024","risk_rank.from2024"
"1","Burma/Myanmar",0.1036,1
"2","Chad",0.0817,2
"3","India",0.0764,3
"4","Sudan",0.0731,4
"5","Pakistan",0.071,5
"6","Burkina Faso",0.0654,6
"7","Afghanistan",0.0617,7
"8","Nigeria",0.0564,8
"9","Yemen",0.0539,9
"10","Guinea",0.0528,10
"11","Indonesia",0.0491,11
"12","Niger",0.0482,12
"13","Ethiopia",0.0476,13
"14","Democratic Republic of Congo",0.0431,14
"15","Iran",0.0413,15
"16","Cambodia",0.041,16
"17","Bangladesh",0.0378,17
"18","Iraq",0.0363,18
"19","Syria",0.0353,19
"20","Mali",0.0342,20
"21","Philippines",0.0328,21
"22","Russia",0.032,22
"23","Turkey",0.0286,23
"24","Somalia",0.0283,24
"25","Angola",0.0283,25
"26","Mozambique",0.0282,26
"27","China",0.0281,27
"28","Laos",0.0264,28
"29","Republic of Congo",0.0263,29
"30","Tajikistan",0.0261,30
"31","South Sudan",0.0258,31
"32","Thailand",0.0251,32
"33","Uganda",0.0244,33
"34","Egypt",0.0235,34
"35","Ivory Coast",0.0234,35
"36","Central African Republic",0.0225,36
"37","Tanzania",0.0224,37
"38","Algeria",0.0223,38
"39","Burundi",0.0222,39
"40","Eritrea",0.0218,40
"41","South Africa",0.021,41
"42","Nepal",0.0205,42
"43","Kenya",0.0203,43
"44","Cameroon",0.019,44
"45","Sri Lanka",0.019,45
"46","Malawi",0.0186,46
"47","Sierra Leone",0.018,47
"48","Democratic Republic of Vietnam",0.018,48
"49","Liberia",0.0174,49
"50","Gabon",0.0169,50
"51","Zimbabwe",0.0159,51
"52","Libya",0.0158,52
"53","Haiti",0.0154,53
"54","Mauritania",0.0139,54
"55","Madagascar",0.0137,55
"56","Colombia",0.0135,56
"57","Equatorial Guinea",0.0128,57
"58","Togo",0.0128,58
"59","Rwanda",0.0128,59
"60","Bahrain",0.0121,60
"61","Morocco",0.012,61
"62","Ukraine",0.0119,62
"63","Nicaragua",0.0113,63
"64","North Korea",0.0111,64
"65","Zambia",0.0111,65
"66","Uzbekistan",0.0109,66
"67","Namibia",0.0102,67
"68","Jordan",0.0099,68
"69","Peru",0.0098,69
"70","Georgia",0.0097,70
"71","Lebanon",0.0096,71
"72","Senegal",0.0096,72
"73","Bosnia and Herzegovina",0.0094,73
"74","Djibouti",0.0094,74
"75","Brazil",0.0091,75
"76","United States of America",0.0089,76
"77","Argentina",0.0087,77
"78","Bhutan",0.0086,78
"79","Venezuela",0.0084,79
"80","Mexico",0.0079,80
"81","Guinea-Bissau",0.0078,81
"82","Botswana",0.0076,82
"83","United Arab Emirates",0.0075,83
"84","Israel",0.0073,84
"85","El Salvador",0.007,85
"86","Papua New Guinea",0.007,86
"87","Kazakhstan",0.0068,87
"88","Eswatini",0.0063,88
"89","Azerbaijan",0.0062,89
"90","Benin",0.0061,90
"91","Comoros",0.0061,91
"92","Guatemala",0.006,92
"93","South Korea",0.0057,93
"94","Fiji",0.0056,94
"95","Ecuador",0.0055,95
"96","Moldova",0.0053,96
"97","Canada",0.0053,97
"98","Timor-Leste",0.0052,98
"99","Ghana",0.0051,99
"100","Poland",0.0051,100
"101","Honduras",0.005,101
"102","Kyrgystan",0.005,102
"103","Bolivia",0.005,103
"104","Romania",0.005,104
"105","Paraguay",0.0048,105
"106","Serbia",0.0047,106
"107","Hungary",0.0047,107
"108","Saudi Arabia",0.0047,108
"109","Malaysia",0.0047,109
"110","United Kingdom",0.0045,110
"111","Japan",0.0045,111
"112","Turkmenistan",0.0045,112
"113","Cyprus",0.0044,113
"114","Maldives",0.0042,114
"115","Czech Republic",0.0041,115
"116","Panama",0.0041,116
"117","Croatia",0.0039,117
"118","Germany",0.0039,118
"119","Slovakia",0.0039,119
"120","France",0.0038,120
"121","Chile",0.0038,121
"122","Spain",0.0037,122
"123","Dominican Republic",0.0037,123
"124","Italy",0.0035,124
"125","Belarus",0.0035,125
"126","The Gambia",0.0035,126
"127","Greece",0.0034,127
"128","Lesotho",0.0034,128
"129","Australia",0.0033,129
"130","Uruguay",0.0031,130
"131","Guyana",0.0031,131
"132","Singapore",0.003,132
"133","Switzerland",0.003,133
"134","Netherlands",0.0029,134
"135","Oman",0.0029,135
"136","Kuwait",0.0029,136
"137","Mongolia",0.0029,137
"138","Tunisia",0.0029,138
"139","Belgium",0.0028,139
"140","New Zealand",0.0028,140
"141","Qatar",0.0028,141
"142","Portugal",0.0027,142
"143","Austria",0.0027,143
"144","Bulgaria",0.0026,144
"145","Sweden",0.0026,145
"146","Macedonia",0.0025,146
"147","Kosovo",0.0025,147
"148","Mauritius",0.0025,148
"149","Albania",0.0024,149
"150","Denmark",0.0023,150
"151","Cuba",0.0023,151
"152","Armenia",0.0023,152
"153","Solomon Islands",0.0023,153
"154","Ireland",0.0023,154
"155","Finland",0.0022,155
"156","Norway",0.0021,156
"157","Lithuania",0.0021,157
"158","Latvia",0.002,158
"159","Slovenia",0.0019,159
"160","Cape Verde",0.0018,160
"161","Estonia",0.0018,161
"162","Luxembourg",0.0016,162
"163","Montenegro",0.0016,163
"164","Costa Rica",0.0016,164
"165","Malta",0.0015,165
"166","Trinidad and Tobago",0.0015,166
"167","Jamaica",0.0015,167
"168","Suriname",0.0012,168
