"","ewp_name","risk_1or2.from2024","risk_rank.from2024"
"1","Burma/Myanmar",0.1041,1
"2","Chad",0.0812,2
"3","Sudan",0.081,3
"4","India",0.0752,4
"5","Burkina Faso",0.0749,5
"6","Pakistan",0.0721,6
"7","Afghanistan",0.0617,7
"8","Nigeria",0.0598,8
"9","Yemen",0.0552,9
"10","Guinea",0.0551,10
"11","Niger",0.0523,11
"12","Indonesia",0.0484,12
"13","Ethiopia",0.0483,13
"14","Democratic Republic of Congo",0.0438,14
"15","Iran",0.0424,15
"16","Cambodia",0.04,16
"17","Mali",0.039,17
"18","Bangladesh",0.0377,18
"19","Iraq",0.0358,19
"20","Syria",0.0358,20
"21","Philippines",0.0335,21
"22","Russia",0.0328,22
"23","Somalia",0.0318,23
"24","Mozambique",0.0315,24
"25","Turkey",0.0303,25
"26","Angola",0.0301,26
"27","China",0.0279,27
"28","Laos",0.0272,28
"29","Republic of Congo",0.0266,29
"30","Tajikistan",0.0264,30
"31","South Sudan",0.0264,31
"32","Egypt",0.0255,32
"33","Thailand",0.0255,33
"34","Uganda",0.0249,34
"35","Central African Republic",0.0247,35
"36","Ivory Coast",0.0246,36
"37","Tanzania",0.0241,37
"38","Algeria",0.0233,38
"39","Eritrea",0.0231,39
"40","Burundi",0.0229,40
"41","Nepal",0.0223,41
"42","South Africa",0.0221,42
"43","Kenya",0.0212,43
"44","Cameroon",0.0205,44
"45","Sierra Leone",0.0204,45
"46","Malawi",0.0196,46
"47","Liberia",0.0191,47
"48","Sri Lanka",0.0187,48
"49","Democratic Republic of Vietnam",0.0185,49
"50","Gabon",0.0171,50
"51","Libya",0.0165,51
"52","Haiti",0.0163,52
"53","Zimbabwe",0.0158,53
"54","Colombia",0.0147,54
"55","Togo",0.0145,55
"56","Mauritania",0.0143,56
"57","Madagascar",0.0142,57
"58","Equatorial Guinea",0.0135,58
"59","Rwanda",0.0129,59
"60","Ukraine",0.0129,60
"61","Zambia",0.0124,61
"62","Morocco",0.0123,62
"63","Bahrain",0.0123,63
"64","Nicaragua",0.012,64
"65","Uzbekistan",0.0115,65
"66","North Korea",0.0113,66
"67","Namibia",0.011,67
"68","Senegal",0.0108,68
"69","Peru",0.0105,69
"70","Georgia",0.0102,70
"71","Jordan",0.0101,71
"72","Djibouti",0.0101,72
"73","Bosnia and Herzegovina",0.01,73
"74","Brazil",0.01,74
"75","Argentina",0.0097,75
"76","Lebanon",0.0097,76
"77","United States of America",0.0097,77
"78","Bhutan",0.0094,78
"79","Venezuela",0.009,79
"80","Mexico",0.0085,80
"81","Israel",0.0084,81
"82","Botswana",0.0083,82
"83","Guinea-Bissau",0.0082,83
"84","United Arab Emirates",0.0078,84
"85","Papua New Guinea",0.0075,85
"86","El Salvador",0.0074,86
"87","Benin",0.0071,87
"88","Kazakhstan",0.007,88
"89","Eswatini",0.0068,89
"90","Comoros",0.0067,90
"91","Guatemala",0.0064,91
"92","Azerbaijan",0.0064,92
"93","South Korea",0.0062,93
"94","Fiji",0.0062,94
"95","Canada",0.006,95
"96","Moldova",0.0059,96
"97","Ecuador",0.0059,97
"98","Timor-Leste",0.0058,98
"99","Ghana",0.0058,99
"100","Poland",0.0056,100
"101","Bolivia",0.0055,101
"102","Romania",0.0055,102
"103","Honduras",0.0054,103
"104","Kyrgystan",0.0052,104
"105","Paraguay",0.0051,105
"106","Hungary",0.0049,106
"107","Saudi Arabia",0.0048,107
"108","United Kingdom",0.0048,108
"109","Serbia",0.0048,109
"110","Japan",0.0048,110
"111","Malaysia",0.0048,111
"112","Cyprus",0.0047,112
"113","Turkmenistan",0.0047,113
"114","Panama",0.0046,114
"115","Czech Republic",0.0046,115
"116","Maldives",0.0044,116
"117","Slovakia",0.0043,117
"118","Dominican Republic",0.0043,118
"119","Germany",0.0043,119
"120","Spain",0.0041,120
"121","France",0.0041,121
"122","Croatia",0.0041,122
"123","Chile",0.0041,123
"124","Belarus",0.0039,124
"125","Italy",0.0039,125
"126","Lesotho",0.0038,126
"127","Greece",0.0038,127
"128","The Gambia",0.0037,128
"129","Australia",0.0036,129
"130","Uruguay",0.0036,130
"131","Guyana",0.0036,131
"132","Netherlands",0.0033,132
"133","Switzerland",0.0032,133
"134","Tunisia",0.0032,134
"135","Belgium",0.0031,135
"136","Oman",0.0031,136
"137","Kuwait",0.0031,137
"138","Singapore",0.0031,138
"139","Mongolia",0.003,139
"140","New Zealand",0.003,140
"141","Portugal",0.0029,141
"142","Austria",0.0029,142
"143","Bulgaria",0.0029,143
"144","Qatar",0.0029,144
"145","Sweden",0.0029,145
"146","Cuba",0.0027,146
"147","Kosovo",0.0027,147
"148","Macedonia",0.0027,148
"149","Albania",0.0026,149
"150","Mauritius",0.0026,150
"151","Denmark",0.0026,151
"152","Armenia",0.0026,152
"153","Ireland",0.0026,153
"154","Solomon Islands",0.0025,154
"155","Finland",0.0025,155
"156","Norway",0.0024,156
"157","Lithuania",0.0023,157
"158","Latvia",0.0022,158
"159","Slovenia",0.0021,159
"160","Cape Verde",0.002,160
"161","Estonia",0.002,161
"162","Luxembourg",0.0018,162
"163","Montenegro",0.0018,163
"164","Costa Rica",0.0018,164
"165","Malta",0.0017,165
"166","Jamaica",0.0017,166
"167","Trinidad and Tobago",0.0017,167
"168","Suriname",0.0014,168
