Variable,Reg_DropOutTime,Reg_DropOutOrder
reg.mna,-9.39972556095139,1
includesnonstate,-9.30669181982032,2
v2mecenefm_binary,-8.28332066737852,3
widetargeting,-8.0042194439853,4
social_inequality,-7.72511822059208,5
religiousfreedom,-6.88781455041243,6
countryage.new.log2,-6.88781455041243,7
gdppcgrowth,-6.79478080928136,8
v2csgender_binary,-6.42264584475707,9
judicialreform,-6.23657836249492,10
mk_onset_prev_year,-6.23657836249492,11
reg.eur,-5.95747713910171,12
minorityrule,-5.77140965683956,13
social_power_dist,-5.67837591570849,14
partyban.new.0,-5.49230843344634,15
year,-5.49230843344634,16
year_sq,-5.39927469231527,17
ses_power_dist,-5.12017346892205,18
ios.iccpr1,-5.02713972779098,19
efindex,-4.93410598665991,20
newcountry,-4.74803850439776,21
reg.na,-4.65500476326669,22
reg.sca,-4.37590353987347,23
narrowtargeting,-4.2828697987424,24
partyban.new.1,-4.00376857534918,25
battledeaths.log2,-4.00376857534918,26
popsize.log2,-3.91073483421811,27
discrimpop,-3.91073483421811,28
mean_mk_onset_interaction,-3.81770109308704,29
coup.try.5yr,-3.72466735195596,30
mk_ever,-3.72466735195596,31
pol_killing_approved,-3.63163361082489,32
even_civilrights,-3.63163361082489,33
mk_ongoing_count_log2,-3.53859986969382,34
un_imr_sqrt,-3.44556612856275,35
partyban.new.2,,36
freediscussion,,37
repress_civilsoc,,38
reg.eap,,39
